1 ; Max Aarons ; ENG ; DF ; Norwich City ; Premier League ; 22 ; 2000 ; 34 ; 32
45 ; Jean-Daniel Akpa-Akpro ; CIV ; MF ; Lazio ; Serie A ; 29 ; 1992 ; 10 ; 4
46 ; Kevin Akpoguma ; NGA ; DF ; Hoffenheim ; Bundesliga ; 27 ; 1995 ; 26 ; 19
47 ; David Alaba ; AUT ; DF ; Real Madrid ; La Liga ; 29 ; 1992 ; 30 ; 30
48 ; Sofiane Alakouch ; MAR ; DFMF ; Metz ; Ligue 1 ; 23 ; 1998 ; 4 ; 0
49 ; Tomás Alarcón ; CHI ; MF ; Cádiz ; La Liga ; 23 ; 1999 ; 23 ; 16
50 ; Lucas Alario ; ARG ; FW ; Leverkusen ; Bundesliga ; 29 ; 1992 ; 27 ; 5
51 ; Jordi Alba ; ESP ; DF ; Barcelona ; La Liga ; 33 ; 1989 ; 30 ; 30
52 ; Josué Albert ; GUF ; DF ; Clermont Foot ; Ligue 1 ; 30 ; 1992 ; 2 ; 0
53 ; Luis Alberto ; ESP ; MF ; Lazio ; Serie A ; 29 ; 1992 ; 34 ; 27
54 ; Raúl Albiol ; ESP ; DF ; Villarreal ; La Liga ; 36 ; 1985 ; 28 ; 28
55 ; Marc Albrighton ; ENG ; FWDF ; Leicester City ; Premier League ; 32 ; 1989 ; 17 ; 11
56 ; Paco Alcácer ; ESP ; FW ; Villarreal ; La Liga ; 28 ; 1993 ; 18 ; 10
57 ; Thiago Alcántara ; ESP ; MF ; Liverpool ; Premier League ; 31 ; 1991 ; 25 ; 17
58 ; Rubén Alcaraz ; ESP ; MF ; Cádiz ; La Liga ; 31 ; 1991 ; 14 ; 12
59 ; Omar Alderete ; PAR ; DF ; Valencia ; La Liga ; 25 ; 1996 ; 29 ; 28
60 ; Iván Alejo ; ESP ; MFFW ; Cádiz ; La Liga ; 27 ; 1995 ; 20 ; 11
61 ; Dođan Alemdar ; TUR ; GK ; Rennes ; Ligue 1 ; 19 ; 2002 ; 12 ; 12
62 ; Carles Aleńá ; ESP ; MF ; Getafe ; La Liga ; 24 ; 1998 ; 33 ; 30
63 ; Trent Alexander-Arnold ; ENG ; DF ; Liverpool ; Premier League ; 23 ; 1998 ; 32 ; 32
64 ; Mircea Alexandru Tirlea ; ROU ; DF ; Alavés ; La Liga ; 22 ; 2000 ; 1 ; 0
65 ; Mohamed Ali Cho ; FRA ; FW ; Angers ; Ligue 1 ; 18 ; 2004 ; 32 ; 21
66 ; Alisson ; BRA ; GK ; Liverpool ; Premier League ; 29 ; 1992 ; 36 ; 36
67 ; Allan ; BRA ; MF ; Everton ; Premier League ; 31 ; 1991 ; 28 ; 25
68 ; Jim Allevinah ; GAB ; FW ; Clermont Foot ; Ligue 1 ; 27 ; 1995 ; 30 ; 13
69 ; Dele Alli ; ENG ; MF ; Everton ; Premier League ; 26 ; 1996 ; 11 ; 1
70 ; Dele Alli ; ENG ; MFFW ; Tottenham ; Premier League ; 26 ; 1996 ; 10 ; 8
71 ; Miguel Almirón ; PAR ; MFFW ; Newcastle Utd ; Premier League ; 28 ; 1994 ; 30 ; 19
72 ; Marcos Alonso ; ESP ; DF ; Chelsea ; Premier League ; 31 ; 1990 ; 28 ; 25
73 ; Giorgio Altare ; ITA ; DF ; Cagliari ; Serie A ; 23 ; 1998 ; 19 ; 17
74 ; Hugo Álvarez ; ESP ; FW ; Celta Vigo ; La Liga ; 36 ; 1985 ; 1 ; 0
75 ; Yeray Álvarez ; ESP ; DF ; Athletic Club ; La Liga ; 27 ; 1995 ; 22 ; 21
76 ; Dani Alves ; BRA ; DF ; Barcelona ; La Liga ; 39 ; 1983 ; 14 ; 13
77 ; Steven Alzate ; COL ; MF ; Brighton ; Premier League ; 23 ; 1998 ; 9 ; 5
78 ; Ibrahim Amadou ; FRA ; DFMF ; Metz ; Ligue 1 ; 29 ; 1993 ; 10 ; 10
79 ; Emmanuel Amankwaa Akurugu ; GHA ; DF ; Getafe ; La Liga ; 20 ; 2001 ; 3 ; 1
80 ; Daniel Amartey ; GHA ; DF ; Leicester City ; Premier League ; 27 ; 1994 ; 28 ; 23
81 ; Amath ; SEN ; FWMF ; Mallorca ; La Liga ; 25 ; 1996 ; 19 ; 9
82 ; Jordan Amavi ; FRA ; DF ; Marseille ; Ligue 1 ; 28 ; 1994 ; 2 ; 2
83 ; Jordan Amavi ; FRA ; DF ; Nice ; Ligue 1 ; 28 ; 1994 ; 8 ; 4
84 ; Wisdom Amey ; ITA ; DF ; Bologna ; Serie A ; 16 ; 2005 ; 1 ; 1
85 ; Kelvin Amian ; FRA ; DF ; Spezia ; Serie A ; 24 ; 1998 ; 32 ; 31
86 ; Nadiem Amiri ; GER ; MFFW ; Genoa ; Serie A ; 25 ; 1996 ; 13 ; 9
87 ; Nadiem Amiri ; GER ; MFFW ; Leverkusen ; Bundesliga ; 25 ; 1996 ; 13 ; 3
88 ; Ethan Ampadu ; WAL ; MFDF ; Venezia ; Serie A ; 21 ; 2000 ; 29 ; 26
89 ; Sofyan Amrabat ; MAR ; MF ; Fiorentina ; Serie A ; 25 ; 1996 ; 23 ; 8
90 ; Joachim Andersen ; DEN ; DF ; Crystal Palace ; Premier League ; 25 ; 1996 ; 34 ; 32
91 ; Felipe Anderson ; BRA ; FW ; Lazio ; Serie A ; 29 ; 1993 ; 38 ; 33
92 ; Sebastian Andersson ; SWE ; FW ; Köln ; Bundesliga ; 30 ; 1991 ; 26 ; 13
93 ; Florin Andone ; ROU ; FW ; Cádiz ; La Liga ; 29 ; 1993 ; 5 ; 1
94 ; Andrés Andrade Cedeńo ; PAN ; DF ; Arminia ; Bundesliga ; 23 ; 1998 ; 17 ; 12
95 ; Fredrik André Bjřrkan ; NOR ; DF ; Hertha BSC ; Bundesliga ; 23 ; 1998 ; 9 ; 2
96 ; Benjamin André ; FRA ; MF ; Lille ; Ligue 1 ; 31 ; 1990 ; 33 ; 33
97 ; Robert Andrich ; GER ; MF ; Leverkusen ; Bundesliga ; 27 ; 1994 ; 26 ; 21
98 ; José Ángel ; ESP ; DF ; Osasuna ; La Liga ; 32 ; 1989 ; 23 ; 12
99 ; Angelińo ; ESP ; DF ; RB Leipzig ; Bundesliga ; 25 ; 1997 ; 29 ; 26
100 ; Ebenezer Annan ; GHA ; DF ; Bologna ; Serie A ; 19 ; 2002 ; 1 ; 0
101 ; Cristian Ansaldi ; ARG ; DF ; Torino ; Serie A ; 35 ; 1986 ; 19 ; 5
102 ; Janis Antiste ; FRA ; FW ; Spezia ; Serie A ; 19 ; 2002 ; 18 ; 9
103 ; Waldemar Anton ; GER ; DF ; Stuttgart ; Bundesliga ; 25 ; 1996 ; 29 ; 29
104 ; Josep Antoni Gayá ; ESP ; DF ; Mallorca ; La Liga ; 21 ; 2000 ; 1 ; 1
105 ; Michail Antonio ; JAM ; FW ; West Ham ; Premier League ; 32 ; 1990 ; 36 ; 34
106 ; Christopher Antwi-Adjei ; GHA ; FWMF ; Bochum ; Bundesliga ; 28 ; 1994 ; 25 ; 12
107 ; Houssem Aouar ; FRA ; MFFW ; Lyon ; Ligue 1 ; 23 ; 1998 ; 36 ; 29
108 ; Adil Aouchiche ; FRA ; MFFW ; Saint-Étienne ; Ligue 1 ; 19 ; 2002 ; 35 ; 11
109 ; Dennis Appiah ; FRA ; DF ; Nantes ; Ligue 1 ; 29 ; 1992 ; 32 ; 22
110 ; Mauro Arambarri ; URU ; MF ; Getafe ; La Liga ; 26 ; 1995 ; 31 ; 31
111 ; Mattia Aramu ; ITA ; MFFW ; Venezia ; Serie A ; 27 ; 1995 ; 32 ; 25
112 ; Charles Aránguiz ; CHI ; MF ; Leverkusen ; Bundesliga ; 33 ; 1989 ; 26 ; 16
113 ; Néstor Araujo ; MEX ; DF ; Celta Vigo ; La Liga ; 30 ; 1991 ; 34 ; 29
114 ; Ronald Araújo ; URU ; DF ; Barcelona ; La Liga ; 23 ; 1999 ; 30 ; 25
115 ; Cameron Archer ; ENG ; MFFW ; Aston Villa ; Premier League ; 20 ; 2001 ; 3 ; 0
116 ; Alphonse Areola ; FRA ; GK ; West Ham ; Premier League ; 29 ; 1993 ; 1 ; 1
117 ; Jesús Areso ; ESP ; DF ; Osasuna ; La Liga ; 22 ; 1999 ; 3 ; 2
118 ; Matias Arezo ; URU ; FW ; Granada ; La Liga ; 19 ; 2002 ; 8 ; 1
119 ; Santiago Arias ; COL ; DF ; Granada ; La Liga ; 30 ; 1992 ; 12 ; 4
120 ; Adam Armstrong ; ENG ; FW ; Southampton ; Premier League ; 25 ; 1997 ; 23 ; 17
121 ; Stuart Armstrong ; SCO ; MF ; Southampton ; Premier League ; 30 ; 1992 ; 25 ; 15
122 ; Marko Arnautovi? ; AUT ; FW ; Bologna ; Serie A ; 33 ; 1989 ; 33 ; 32
123 ; Maximilian Arnold ; GER ; MF ; Wolfsburg ; Bundesliga ; 28 ; 1994 ; 34 ; 34
124 ; Kepa Arrizabalaga ; ESP ; GK ; Chelsea ; Premier League ; 27 ; 1994 ; 4 ; 4
125 ; Tolgay Arslan ; GER ; MF ; Udinese ; Serie A ; 31 ; 1990 ; 30 ; 22
126 ; Arthur ; BRA ; FW ; Fiorentina ; Serie A ; 24 ; 1998 ; 14 ; 8
127 ; Santiago Arzamendia ; PAR ; MFDF ; Cádiz ; La Liga ; 24 ; 1998 ; 14 ; 5
128 ; Takuma Asano ; JPN ; FWMF ; Bochum ; Bundesliga ; 27 ; 1994 ; 27 ; 20
129 ; Santiago Ascacíbar ; ARG ; MF ; Hertha BSC ; Bundesliga ; 25 ; 1997 ; 28 ; 27
130 ; Sergio Asenjo ; ESP ; GK ; Villarreal ; La Liga ; 32 ; 1989 ; 6 ; 6
131 ; Alejandro Asensio ; ESP ; FW ; Rayo Vallecano ; La Liga ; 21 ; 2000 ; 2 ; 0
132 ; Marco Asensio ; ESP ; FWMF ; Real Madrid ; La Liga ; 26 ; 1996 ; 31 ; 19
133 ; Harrison Ashby ; SCO ; DF ; West Ham ; Premier League ; 20 ; 2001 ; 1 ; 0
134 ; Kristoffer Askildsen ; NOR ; MF ; Sampdoria ; Serie A ; 21 ; 2001 ; 19 ; 7
135 ; Fisnik Asllani ; KVX ; MFFW ; Hoffenheim ; Bundesliga ; 19 ; 2002 ; 2 ; 0
136 ; Kristjan Asllani ; ALB ; MF ; Empoli ; Serie A ; 20 ; 2002 ; 23 ; 14
137 ; Iago Aspas ; ESP ; FW ; Celta Vigo ; La Liga ; 34 ; 1987 ; 37 ; 36
138 ; Lorenz Assignon ; TOG ; DF ; Rennes ; Ligue 1 ; 21 ; 2000 ; 20 ; 5
139 ; Simon Asta ; GER ; DF ; Greuther Fürth ; Bundesliga ; 21 ; 2001 ; 13 ; 9
140 ; Youcef Atal ; ALG ; DF ; Nice ; Ligue 1 ; 26 ; 1996 ; 17 ; 13
141 ; Pierre-Emerick Aubameyang ; GAB ; FW ; Barcelona ; La Liga ; 32 ; 1989 ; 17 ; 13
142 ; Pierre-Emerick Aubameyang ; GAB ; FW ; Arsenal ; Premier League ; 32 ; 1989 ; 14 ; 12
143 ; Emil Audero ; ITA ; GK ; Sampdoria ; Serie A ; 25 ; 1997 ; 29 ; 29
144 ; Tommaso Augello ; ITA ; DF ; Sampdoria ; Serie A ; 27 ; 1994 ; 36 ; 25
145 ; Jean-Kévin Augustin ; FRA ; FWMF ; Nantes ; Ligue 1 ; 24 ; 1997 ; 7 ; 0
146 ; Ludwig Augustinsson ; SWE ; DF ; Sevilla ; La Liga ; 28 ; 1994 ; 19 ; 9
147 ; Serge Aurier ; CIV ; DF ; Villarreal ; La Liga ; 29 ; 1992 ; 19 ; 10
148 ; Ezequiel Ávila ; ARG ; FWMF ; Osasuna ; La Liga ; 28 ; 1994 ; 36 ; 22
149 ; Taiwo Awoniyi ; NGA ; FW ; Union Berlin ; Bundesliga ; 24 ; 1997 ; 31 ; 29
150 ; Ramzi Aya ; ITA ; DF ; Salernitana ; Serie A ; 31 ; 1990 ; 2 ; 2
151 ; Jordan Ayew ; GHA ; FW ; Crystal Palace ; Premier League ; 30 ; 1991 ; 31 ; 23
152 ; Kaan Ayhan ; TUR ; DF ; Sassuolo ; Serie A ; 27 ; 1994 ; 23 ; 14
153 ; Luke Ayling ; ENG ; DF ; Leeds United ; Premier League ; 30 ; 1991 ; 26 ; 26
154 ; Karim Azamoum ; FRA ; DF ; Troyes ; Ligue 1 ; 32 ; 1990 ; 7 ; 4
155 ; Sardar Azmoun ; IRN ; FWMF ; Leverkusen ; Bundesliga ; 27 ; 1995 ; 9 ; 4
156 ; César Azpilicueta ; ESP ; DF ; Chelsea ; Premier League ; 32 ; 1989 ; 27 ; 24
157 ; Iddrisu Baba ; GHA ; MF ; Mallorca ; La Liga ; 26 ; 1996 ; 26 ; 23
158 ; Carlos Bacca ; COL ; FW ; Granada ; La Liga ; 35 ; 1986 ; 17 ; 4
159 ; Daniel Bachmann ; AUT ; GK ; Watford ; Premier League ; 27 ; 1994 ; 12 ; 12
160 ; Loďc Bade ; FRA ; DF ; Rennes ; Ligue 1 ; 22 ; 2000 ; 14 ; 11
161 ; Milan Badelj ; CRO ; MF ; Genoa ; Serie A ; 33 ; 1989 ; 34 ; 34
162 ; Édgar Badía ; ESP ; GK ; Elche ; La Liga ; 30 ; 1992 ; 24 ; 24
163 ; Benoît Badiashile ; FRA ; DF ; Monaco ; Ligue 1 ; 21 ; 2001 ; 24 ; 21
164 ; Youssouph Badji ; SEN ; FW ; Brest ; Ligue 1 ; 20 ; 2001 ; 9 ; 1
165 ; Miguel Baeza ; ESP ; DF ; Celta Vigo ; La Liga ; 22 ; 2000 ; 1 ; 0
166 ; Nicola Bagnolini ; ITA ; GK ; Bologna ; Serie A ; 18 ; 2004 ; 1 ; 0
167 ; Issa Bah ; LUX ; FW ; Venezia ; Serie A ; 19 ; 2002 ; 1 ; 0
168 ; Stéphane Bahoken ; CMR ; FW ; Angers ; Ligue 1 ; 30 ; 1992 ; 29 ; 12
169 ; Leon Bailey ; JAM ; FWMF ; Aston Villa ; Premier League ; 24 ; 1997 ; 18 ; 7
170 ; Eric Bailly ; CIV ; DF ; Manchester Utd ; Premier League ; 28 ; 1994 ; 4 ; 3
171 ; Dénys Bain ; FRA ; DF ; Brest ; Ligue 1 ; 28 ; 1993 ; 2 ; 2
172 ; Stefan Bajic ; FRA ; GK ; Saint-Étienne ; Ligue 1 ; 20 ; 2001 ; 7 ; 4
173 ; Nedim Bajrami ; ALB ; MFFW ; Empoli ; Serie A ; 23 ; 1999 ; 35 ; 23
174 ; Cédric Bakambu ; COD ; FW ; Marseille ; Ligue 1 ; 31 ; 1991 ; 12 ; 5
175 ; Abdoulaye Bakayoko ; FRA ; DF ; Saint-Étienne ; Ligue 1 ; 19 ; 2002 ; 4 ; 4
176 ; Tiemoué Bakayoko ; FRA ; MF ; Milan ; Serie A ; 27 ; 1994 ; 14 ; 5
177 ; Mitchel Bakker ; NED ; DF ; Leverkusen ; Bundesliga ; 21 ; 2000 ; 25 ; 19
178 ; Ridle Baku ; GER ; DFFW ; Wolfsburg ; Bundesliga ; 24 ; 1998 ; 34 ; 28
179 ; Dilane Bakwa ; FRA ; FWDF ; Bordeaux ; Ligue 1 ; 19 ; 2002 ; 5 ; 0
180 ; Tommaso Baldanzi ; ITA ; FW ; Empoli ; Serie A ; 19 ; 2003 ; 1 ; 0
181 ; Alejandro Balde ; ESP ; DFFW ; Barcelona ; La Liga ; 18 ; 2003 ; 5 ; 2
182 ; Ibrahima Baldé ; FRA ; FWMF ; Lens ; Ligue 1 ; 19 ; 2003 ; 4 ; 0
183 ; Keita Baldé ; SEN ; FWMF ; Cagliari ; Serie A ; 27 ; 1995 ; 26 ; 14
184 ; Gareth Bale ; WAL ; FW ; Real Madrid ; La Liga ; 32 ; 1989 ; 5 ; 4
185 ; Mikel Balenziaga ; ESP ; DF ; Athletic Club ; La Liga ; 34 ; 1988 ; 26 ; 23
186 ; Leonardo Balerdi ; ARG ; DF ; Marseille ; Ligue 1 ; 23 ; 1999 ; 17 ; 10
187 ; Iván Balliu ; ALB ; DF ; Rayo Vallecano ; La Liga ; 30 ; 1992 ; 35 ; 35
188 ; Fodé Ballo-Touré ; SEN ; DF ; Milan ; Serie A ; 25 ; 1997 ; 10 ; 5
189 ; Folarin Balogun ; ENG ; FW ; Arsenal ; Premier League ; 20 ; 2001 ; 2 ; 1
190 ; Abdoulaye Bamba ; CIV ; DF ; Angers ; Ligue 1 ; 32 ; 1990 ; 10 ; 4
191 ; Jonathan Bamba ; FRA ; MFFW ; Lille ; Ligue 1 ; 26 ; 1996 ; 31 ; 28
192 ; Patrick Bamford ; ENG ; FW ; Leeds United ; Premier League ; 28 ; 1993 ; 9 ; 7
193 ; Filippo Bandinelli ; ITA ; MF ; Empoli ; Serie A ; 27 ; 1995 ; 35 ; 24
194 ; Mattia Bani ; ITA ; DF ; Genoa ; Serie A ; 28 ; 1993 ; 17 ; 13
195 ; Simon Banza ; FRA ; FW ; Lens ; Ligue 1 ; 25 ; 1996 ; 4 ; 1
196 ; Shandon Baptiste ; GRN ; MF ; Brentford ; Premier League ; 24 ; 1998 ; 22 ; 9
197 ; Antonín Barák ; CZE ; FWMF ; Hellas Verona ; Serie A ; 27 ; 1994 ; 29 ; 27
198 ; Barbero ; ESP ; MFFW ; Osasuna ; La Liga ; 23 ; 1998 ; 6 ; 0
199 ; Danilo Barbosa ; BRA ; DF ; Nice ; Ligue 1 ; 26 ; 1996 ; 1 ; 1
200 ; Barcia ; ESP ; DF ; Granada ; La Liga ; 21 ; 2000 ; 1 ; 1
201 ; Bradley Barcola ; FRA ; FWMF ; Lyon ; Ligue 1 ; 19 ; 2002 ; 11 ; 2
202 ; Melvin Bard ; FRA ; DF ; Nice ; Ligue 1 ; 21 ; 2000 ; 33 ; 30
203 ; Enis Bardhi ; MKD ; MFFW ; Levante ; La Liga ; 26 ; 1995 ; 30 ; 17
204 ; Francesco Bardi ; ITA ; GK ; Bologna ; Serie A ; 30 ; 1992 ; 2 ; 2
205 ; Keidi Bare ; ALB ; MF ; Espanyol ; La Liga ; 24 ; 1997 ; 25 ; 18
206 ; Nicolň Barella ; ITA ; MF ; Inter ; Serie A ; 25 ; 1997 ; 36 ; 36
207 ; Kike Barja ; ESP ; MFFW ; Osasuna ; La Liga ; 25 ; 1997 ; 21 ; 9
208 ; Ross Barkley ; ENG ; MF ; Chelsea ; Premier League ; 28 ; 1993 ; 6 ; 1
209 ; Aymen Barkok ; MAR ; MFFW ; Eint Frankfurt ; Bundesliga ; 24 ; 1998 ; 5 ; 2
210 ; Ashley Barnes ; ENG ; FW ; Burnley ; Premier League ; 32 ; 1989 ; 23 ; 8
211 ; Harvey Barnes ; ENG ; FWMF ; Leicester City ; Premier League ; 24 ; 1997 ; 32 ; 24
212 ; Antonio Barragán ; ESP ; DF ; Elche ; La Liga ; 34 ; 1987 ; 16 ; 12
213 ; Leandro Barreiro Martins ; LUX ; MF ; Mainz 05 ; Bundesliga ; 22 ; 2000 ; 31 ; 20
214 ; Ander Barrenetxea ; ESP ; FWMF ; Real Sociedad ; La Liga ; 20 ; 2001 ; 11 ; 6
215 ; Jacob Barrett Laursen ; DEN ; DF ; Arminia ; Bundesliga ; 27 ; 1994 ; 24 ; 20
216 ; Musa Barrow ; GAM ; FWMF ; Bologna ; Serie A ; 23 ; 1998 ; 34 ; 25
217 ; Abdourahmane Barry ; FRA ; DF ; Greuther Fürth ; Bundesliga ; 22 ; 2000 ; 8 ; 1
218 ; Marc Bartra ; ESP ; DF ; Betis ; La Liga ; 31 ; 1991 ; 23 ; 23
219 ; Daniele Baselli ; ITA ; MFFW ; Torino ; Serie A ; 30 ; 1992 ; 6 ; 0
220 ; Daniele Baselli ; ITA ; MF ; Cagliari ; Serie A ; 30 ; 1992 ; 9 ; 2
221 ; Toma Baši? ; CRO ; MF ; Lazio ; Serie A ; 25 ; 1996 ; 29 ; 9
222 ; Toma Baši? ; CRO ; MF ; Bordeaux ; Ligue 1 ; 25 ; 1996 ; 3 ; 3
223 ; Amine Bassi ; FRA ; MF ; Metz ; Ligue 1 ; 24 ; 1997 ; 5 ; 2
224 ; Álvaro Bastida ; ESP ; MF ; Cádiz ; La Liga ; 18 ; 2004 ; 6 ; 2
225 ; Alessandro Bastoni ; ITA ; DF ; Inter ; Serie A ; 23 ; 1999 ; 31 ; 29
226 ; Simone Bastoni ; ITA ; MFDF ; Spezia ; Serie A ; 25 ; 1996 ; 31 ; 26
227 ; Lewis Bate ; ENG ; MF ; Leeds United ; Premier League ; 19 ; 2002 ; 3 ; 1
228 ; Rodrigo Battaglia ; ARG ; MF ; Mallorca ; La Liga ; 30 ; 1991 ; 26 ; 12
229 ; Maximilian Bauer ; GER ; DF ; Greuther Fürth ; Bundesliga ; 22 ; 2000 ; 26 ; 18
230 ; Oliver Baumann ; GER ; GK ; Hoffenheim ; Bundesliga ; 31 ; 1990 ; 33 ; 33
231 ; Timo Baumgartl ; GER ; DF ; Union Berlin ; Bundesliga ; 26 ; 1996 ; 25 ; 25
232 ; Julian Baumgartlinger ; AUT ; MF ; Leverkusen ; Bundesliga ; 34 ; 1988 ; 6 ; 1
233 ; Christoph Baumgartner ; AUT ; MFFW ; Hoffenheim ; Bundesliga ; 22 ; 1999 ; 29 ; 23
234 ; Jon Bautista ; ESP ; FWMF ; Real Sociedad ; La Liga ; 26 ; 1995 ; 1 ; 0
235 ; Mohamed Bayo ; GUI ; FW ; Clermont Foot ; Ligue 1 ; 23 ; 1998 ; 32 ; 27
236 ; Paul Baysse ; FRA ; DF ; Bordeaux ; Ligue 1 ; 34 ; 1988 ; 2 ; 0
237 ; Noah Joel Sarenren Bazee ; NGA ; MFFW ; Augsburg ; Bundesliga ; 25 ; 1996 ; 14 ; 1
238 ; Bebé ; CPV ; FWMF ; Rayo Vallecano ; La Liga ; 31 ; 1990 ; 29 ; 6
239 ; Ihlas Bebou ; TOG ; FWDF ; Hoffenheim ; Bundesliga ; 28 ; 1994 ; 28 ; 25
240 ; Rodrigo Becăo ; BRA ; DF ; Udinese ; Serie A ; 26 ; 1996 ; 35 ; 35
241 ; Mads Bech Sřrensen ; DEN ; DF ; Brentford ; Premier League ; 23 ; 1999 ; 11 ; 9
242 ; Sheraldo Becker ; SUR ; FWMF ; Union Berlin ; Bundesliga ; 27 ; 1995 ; 28 ; 22
243 ; Jan Bednarek ; POL ; DF ; Southampton ; Premier League ; 26 ; 1996 ; 31 ; 30
244 ; Donny van de Beek ; NED ; MF ; Manchester Utd ; Premier League ; 25 ; 1997 ; 8 ; 0
245 ; Donny van de Beek ; NED ; MF ; Everton ; Premier League ; 25 ; 1997 ; 7 ; 5
